number,timestamp,difficulty,txCount,txEther,txFees,uncleETH,minerUncleReward,totalETHreward
2770908,48:21.0,7.63666E+13,1,350,761.6232664,0,0,766.6232664
3933453,38:35.0,9.53949E+14,39,39428.82298,160.7705283,0,0,165.7705283
3942669,15:24.0,9.45557E+14,5,1874.285266,102.9696306,0,0,107.9696306
3933451,37:06.0,9.56476E+14,52,58749.15543,97.88973069,0,0,102.8897307
3942670,15:38.0,9.45695E+14,23,7786.437036,90.76282101,0,0,95.76282101
3933761,11:49.0,9.41584E+14,48,105800.5645,57.41099239,0,0,62.41099239
3798641,24:50.0,5.22417E+14,77,53218.62212,35.29492436,0,0,40.29492436
961468,02:46.0,1.08362E+13,50,0,30.43668,3.75,0.15625,39.34293
961470,03:19.0,1.08256E+13,51,0,30.43358,0,0,35.43358
3922949,00:03.0,8.69091E+14,66,4248.805229,29.66160906,0,0,34.66160906
3798644,25:16.0,5.23031E+14,17,20303.4248,29.64159922,0,0,34.64159922
3798640,24:35.0,5.22383E+14,85,79384.62313,28.04664085,0,0,33.04664085
3862142,09:08.0,6.80561E+14,49,5403.05484,27.38015083,0,0,32.38015083
3187469,00:06.0,1.26856E+14,43,68925.99576,27.14794292,0,0,32.14794292
961207,49:06.0,1.08736E+13,47,10.01714309,25.78954,0,0,30.78954
3942671,16:01.0,9.4537E+14,33,2241.133845,25.59591199,0,0,30.59591199
126336,31:24.0,5.03902E+12,121,13.82956814,25.41,0,0,30.41
961472,03:36.0,1.08256E+13,33,0,19.8413,3.75,0.15625,28.74755
3933454,39:46.0,9.51292E+14,20,9882.23,21.5515235,0,0,26.5515235
3906827,55:55.0,8.91767E+14,4,719.1251967,21.00735,0,0,26.00735
3933465,43:12.0,9.50478E+14,57,4853.429753,20.34487231,0,0,25.34487231
1746040,18:06.0,4.88488E+13,5,9.800317533,13.50333339,3.75,0.15625,22.40958339
961208,49:17.0,1.0879E+13,28,2.9,16.26164155,0,0,21.26164155
1599196,56:25.0,4.28144E+13,15,785.1617849,10.71815833,3.75,0.15625,19.62440833
54092,44:00.0,1.59619E+12,2,11901746.24,14.37086386,0,0,19.37086386
3798643,25:05.0,5.22996E+14,18,4383.234297,9.995085295,3.75,0.15625,18.9013353
3798642,24:59.0,5.22707E+14,42,77251.44141,12.13622701,0,0,17.13622701
3933464,42:54.0,9.50341E+14,60,5941.294557,6.910511183,3.75,0.15625,15.81676118
3798746,50:30.0,5.26007E+14,17,1504.103846,10.41319065,0,0,15.41319065
3933450,36:51.0,9.56338E+14,46,10645.67842,6.078633877,3.75,0.15625,14.98488388
